pvals_adj,fc,AUROC,cluster,Gene,cell_type
8.052967815041738e-19,0.76504207,0.9126489811610918,NK-cell9,LINC02227,NK-cell
9.182155822740234e-19,0.779557,0.9118800461361015,NK-cell9,AC128707.1,NK-cell
9.542278191821895e-19,0.79838145,0.9116493656286044,NK-cell9,AC103855.3,NK-cell
1.0281921049646298e-18,0.7962489,0.9111880046136102,NK-cell9,AC010967.1,NK-cell
1.0958859980200092e-18,0.7871277,0.910803537101115,NK-cell9,LINC00698,NK-cell
1.2176722839297387e-18,0.79070485,0.9101883890811227,NK-cell9,GRIK3,NK-cell
1.5296171030929044e-18,0.77886456,0.908881199538639,NK-cell9,AC008568.1,NK-cell
1.738838793322461e-18,0.7938142,0.9080353710111495,NK-cell9,AC097512.1,NK-cell
1.935755347842639e-18,0.7743154,0.9074202229911572,NK-cell9,AP001596.1,NK-cell
2.0339973070960867e-18,0.79709727,0.9071126489811612,NK-cell9,AC010745.2,NK-cell
2.0742247921858275e-18,0.7133015,0.906958861976163,NK-cell9,ZEB2,NK-cell
2.154299206029367e-18,0.79203856,0.9067281814686659,NK-cell9,ATP13A5,NK-cell
2.2422291408266033e-18,0.7833718,0.9064975009611688,NK-cell9,AC022325.2,NK-cell
2.2422291408266033e-18,0.76479656,0.9064975009611688,NK-cell9,AC008163.1,NK-cell
2.64285693058537e-18,0.7870905,0.9055747789311803,NK-cell9,AC079772.1,NK-cell
3.7842389963127775e-18,0.78076166,0.9034986543637062,NK-cell9,ADGRL3-AS1,NK-cell
3.899721071129331e-18,0.7991383,0.9033448673587082,NK-cell9,AC022166.1,NK-cell
5.017839529890572e-18,0.777963,0.9018838908112264,NK-cell9,AC020584.1,NK-cell
5.161752990453659e-18,0.7994955,0.9017301038062284,NK-cell9,PDGFC,NK-cell
5.620954642103232e-18,0.7662304,0.9011918492887351,NK-cell9,ZNF804A,NK-cell
7.050423225088095e-18,0.750578,0.8999615532487504,NK-cell9,GABRG1,NK-cell
7.139129684342353e-18,0.7852749,0.8998846597462514,NK-cell9,AC010230.1,NK-cell
8.209049402841581e-18,0.79182535,0.899038831218762,NK-cell9,AC012178.1,NK-cell
8.326329636504166e-18,0.7882726,0.898961937716263,NK-cell9,AC019197.1,NK-cell
9.56503935030996e-18,0.788237,0.8981930026912726,NK-cell9,AP000477.3,NK-cell
1.0669480320974758e-17,0.7898335,0.8975009611687812,NK-cell9,AL096854.1,NK-cell
1.2719748071819661e-17,0.7897996,0.8965013456362937,NK-cell9,LINC02462,NK-cell
1.3771309513417069e-17,0.7363997,0.8960399846212994,NK-cell9,GPR55,NK-cell
1.4577020490625093e-17,0.72962666,0.8957324106113034,NK-cell9,AC008786.1,NK-cell
1.5605677708852882e-17,0.38002574,0.8953479430988082,NK-cell9,KLRC4-KLRK1,NK-cell
1.6851151331433462e-17,0.79776096,0.8948865820838139,NK-cell9,FRMPD2,NK-cell
1.9540516238564776e-17,0.777789,0.8940407535563245,NK-cell9,LINC02301,NK-cell
2.269376897203502e-17,0.79359275,0.8931949250288351,NK-cell9,LINC02884,NK-cell
2.7578812332497498e-17,0.7717724,0.8921184159938484,NK-cell9,LINC02149,NK-cell
2.7578812332497498e-17,0.7284748,0.8921184159938484,NK-cell9,LINC01202,NK-cell
3.0816355841836506e-17,0.7798373,0.8915032679738562,NK-cell9,ADAM29,NK-cell
3.253279726643309e-17,0.79321384,0.8911956939638601,NK-cell9,PPP1R3A,NK-cell
4.0163181003931804e-17,0.795195,0.8899653979238754,NK-cell9,CES5A,NK-cell
4.4086192156815554e-17,0.79788846,0.8894271434063822,NK-cell9,LINC01339,NK-cell
4.530008925394362e-17,0.7972151,0.889273356401384,NK-cell9,ANO5,NK-cell
4.5947472220336235e-17,0.7818269,0.889196462898885,NK-cell9,AC090679.2,NK-cell
4.9205732405639744e-17,0.799316,0.8888119953863899,NK-cell9,AC007091.1,NK-cell
5.629766560068316e-17,0.7962948,0.8880430603613995,NK-cell9,AL590814.1,NK-cell
6.395553755563636e-17,0.7640802,0.8873510188389081,NK-cell9,AC074386.1,NK-cell
